Variable Name,Description
STATE,"STATE = State measured (AK=Alaska, CA=California, CO=Colorado, ID=Idaho, MT=Montana, OR=Oregon, SD=South Dakota, WA=Washington)"
FIRE,"FIRE = Wildfire name (BLACK=Black Mountain, CASCADE=Cascade, CHIC=Chicken, COONEY=Cooney Ridge, EASTZONE=East Zone, EGLEY=Egley, HAYMAN=Hayman, JASPER=Jasper, MYRTLE=Myrtle Creek, OLD=Old, PORC=Porcupine, RICCO=Ricco, ROBERT=Robert, SCHOOL=School, SHAKE=Shake Table (Thorn Creek), SIMI=Simi, TRIPOD=Tripod, WALL=Wall, WEDGE=Wedge Canyon)"
PLOT,PLOT = Plot identifier
SITE,SITE = Site identifier
PLOT_LETTER,"PLOT_LETTER = Plot letter (A, B, D, F, H)"
LONGITUDE,"LONGITUDE = Longitude in decimal degrees, NAD83"
LATITUDE,"LATITUDE = Latitude in decimal degrees, NAD83"
X_ALBERS,"X_ALBERS = X coordinate in Albers Conical Equal Area projection (PROJ.4 = ""+proj=aea +lat_1=29.5 +lat_2=45.5 +lat_0=23 +lon_0=-96 +x_0=0 +y_0=0 +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs"")"
Y_ALBERS,"Y_ALBERS = Y coordinate in Albers Conical Equal Area projection (PROJ.4 = ""+proj=aea +lat_1=29.5 +lat_2=45.5 +lat_0=23 +lon_0=-96 +x_0=0 +y_0=0 +ellps=GRS80 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs"")"
ELEVATION,ELEVATION = Elevation above sea level (meters)
VERT_PREC,VERT_PREC = Estimated vertical precision (meters)
HORZ_PREC,HORZ_PREC = Estimated horizontal precision (meters)
TRASP,"TRASP = Transformed aspect of plot (Roberts and Cooper, 1989; values range from 0.0 on NNE slopes to 1.0 on SSW slopes)."
SLOPE,SLOPE = Slope of plot (0-90 degrees)
BURN_YEAR,BURN_YEAR = Year of burn
FIELD_DATE,FIELD_DATE = Date when site was characterized in the field (mm/dd/year where mm=month and dd=day)
UNDER_RICHNESS,UNDER_RICHNESS = Understory species richness (species per ssquare meter [speces m-2])
UNDER_GRN_PERC,UNDER_GRN_PERC = Green understory cover (%)
UNDER_NPV_PERC,UNDER_NPV_PERC = Understory non-photosynthetic vegetation cover (%)
UNDER_NPV_CHAR_PERC,UNDER_NPV_CHAR_PERC = Understory non-photosynthetic vegetation charred cover (%)
ASH_PERC,ASH_PERC = Ash cover fraction (%)
ROCK_PERC,ROCK_PERC = Rock cover fraction (%)
ROCK_CHAR_PERC,ROCK_CHAR_PERC = Charred rock cover fraction (%)
SOIL_PERC,SOIL_PERC = Soil cover fraction (%)
SOIL_CHAR_PERC,SOIL_CHAR_PERC = Charred soil cover fraction (%)
TALL_SHRUB_PERC,TALL_SHRUB_PERC = Tall shrub cover on 1/100th fixed-radus plot (%)
CANOPY_AVE,CANOPY_AVE = Canopy closure (%)
FUEL_1HR,"FUEL_1HR = 1-hour fuels (kilograms per square meter [kg m-2]; Keane and Dickinson, 2007)"
FUEL_10HR,"FUEL_10HR = 10-hour fuels (kg m-2; Keane and Dickinson, 2007)"
FUEL_100HR,"FUEL_100HR = 100-hour fuels (kg m-2; Keane and Dickinson, 2007)"
FUEL_1000HR,"FUEL_1000HR = 1000-hour fuels (kg m-2; Keane and Dickinson, 2007)"
LITTER_DEPTH,LITTER_DEPTH = Litter depth (millimeters [mm])
DUFF_DEPTH,DUFF_DEPTH = Duff depth (mm)
ABGR_LIVE_BA,ABGR_ LIVE_BA = Live grand fir basal area (square meters per hectare [m2 ha-1])
ABGR_DEAD_BA,ABGR_ DEAD_BA = Dead grand fir basal area (m2 ha-1)
ABLA_LIVE_BA,ABLA_LIVE_BA = Live subalpine fir basal area (m2 ha-1)
ABLA_DEAD_BA,ABLA_DEAD_BA = Dead subalpine fir basal area (m2 ha-1)
BEPA_LIVE_BA,BEPA_LIVE_BA = Live paper birch basal area (m2 ha-1)
BEPA_DEAD_BA,BEPA_DEAD_BA = Dead paper birch basal area (m2 ha-1)
LAOC_LIVE_BA,LAOC_ LIVE_BA = Live western larch basal area (m2 ha-1)
LAOC_DEAD_BA,LAOC_ DEAD_BA = Dead western larch basal area (m2 ha-1)
PICO_LIVE_BA,PICO_ LIVE_BA = Live lodgepole pine basal area (m2 ha-1)
PICO_DEAD_BA,PICO_ DEAD_BA = Dead lodgepole pine basal area (m2 ha-1)
PIEN_LIVE_BA,PIEN_LIVE_BA = Live Engelmann spruce basal area (m2 ha-1)
PIEN_DEAD_BA,PIEN_DEAD_BA = Dead Engelmann spruce basal area (m2 ha-1)
PIGL_LIVE_BA,PIGL_LIVE_BA = Live white spruce basal area (m2 ha-1)
PIGL_DEAD_BA,PIGL_DEAD_BA = Dead white spruce basal area (m2 ha-1)
PIMA_LIVE_BA,PIMA_LIVE_BA = Live black spruce basal area (m2 ha-1)
PIMA_DEAD_BA,PIMA_DEAD_BA = Dead black spruce basal area (m2 ha-1)
PIPO_LIVE_BA,PIPO_LIVE_BA = Live ponderosa pine basal area (m2 ha-1)
PIPO_DEAD_BA,PIPO_DEAD_BA = Dead ponderosa pine basal area (m2 ha-1)
POTR_LIVE_BA,POTR_LIVE_BA = Live aspen basal area (m2 ha-1)
POTR_DEAD_BA,POTR_DEAD_BA = Dead aspen basal area (m2 ha-1)
PSME_LIVE_BA,PSME_ LIVE_BA = Live Douglas-fir basal area (m2 ha-1)
PSME_DEAD_BA,PSME_ DEAD_BA = Dead Douglas-fir basal area (m2 ha-1)
QUKE_LIVE_BA,QUKE_LIVE_BA = Live California black oak basal (m2 ha-1)
QUKE_DEAD_BA,QUKE_DEAD_BA = Dead California black oak basal area (m2 ha-1)
QULO_LIVE_BA,QULO_LIVE_BA = Live California white oak basal area (m2 ha-1)
QULO_DEAD_BA,QULO_DEAD_BA = Dead California white oak basal area (m2 ha-1)
THPL_LIVE_BA,THPL_ LIVE_BA = Live western redcedar basal area (m2 ha-1)
THPL_DEAD_BA,THPL_ DEAD_BA = Dead western redcedar basal area (m2 ha-1)
OTHER_LIVE_BA,OTHER_ LIVE_BA = Other or unknown live basal area (m2 ha-1)
OTHER_DEAD_BA,OTHER_ DEAD_BA = Other or unknown dead basal area (m2 ha-1)
TOTAL_LIVE_BA,TOTAL_ LIVE_BA = Live total basal area (m2 ha-1)
TOTAL_DEAD_BA,TOTAL_ DEAD_BA = Dead total basal area (m2 ha-1)
ABGR_SEED_LIVE,ABGR_SEED_LIVE = Live grand fir seedling density (seedlings ha-1)
ABGR_SEED_DEAD,ABGR_SEED_DEAD = Dead grand fir seedling density (seedlings ha-1)
ABGR_SAP_LIVE,ABGR_SAP_LIVE = Live grand fir sapling density (saplings ha-1)
